Set,Numbers,match_0_count,match_0_prob,match_1_count,match_1_prob,match_2_count,match_2_prob,match_3_count,match_3_prob,match_4_count,match_4_prob,match_5_count,match_5_prob,match_6_count,match_6_prob,match_5plusbonus_count,match_5plusbonus_prob,≥3_match_prob
Set_01,1 8 32 35 39 42,800791,0.4003955,847652,0.423826,304020,0.15201,44756,0.022378,2733,0.0013665,47,2.35e-05,1,5e-07,0,0.0,0.0237685
Set_02,2 5 11 19 28 39,801086,0.400543,847183,0.4235915,303941,0.1519705,45020,0.02251,2725,0.0013625,45,2.25e-05,0,0.0,1,5e-07,0.023895
Set_03,3 6 17 22 36 38,801366,0.400683,848288,0.424144,302950,0.151475,44612,0.022306,2726,0.001363,58,2.9e-05,0,0.0,2,1e-06,0.023698
Set_04,3 10 15 25 30 43,800565,0.4002825,849469,0.4247345,302779,0.1513895,44503,0.0222515,2634,0.001317,50,2.5e-05,0,0.0,1,5e-07,0.0235935
Set_05,3 10 23 29 38 41,801227,0.4006135,848404,0.424202,302746,0.151373,44895,0.0224475,2668,0.001334,59,2.95e-05,1,5e-07,2,1e-06,0.0238115
Set_06,4 9 18 26 32 40,801540,0.40077,847494,0.423747,303177,0.1515885,44957,0.0224785,2765,0.0013825,67,3.35e-05,0,0.0,1,5e-07,0.0238945
Set_07,4 14 21 24 41 43,801878,0.400939,847622,0.423811,302834,0.151417,44849,0.0224245,2759,0.0013795,58,2.9e-05,0,0.0,0,0.0,0.023833
Set_08,5 12 26 28 39 40,800364,0.400182,847932,0.423966,304055,0.1520275,44855,0.0224275,2737,0.0013685,56,2.8e-05,1,5e-07,2,1e-06,0.0238245
Set_09,6 7 27 30 44 45,801175,0.4005875,848504,0.424252,302218,0.151109,45324,0.022662,2718,0.001359,61,3.05e-05,0,0.0,2,1e-06,0.0240515
Set_10,6 13 22 29 35 44,800355,0.4001775,849078,0.424539,302985,0.1514925,44725,0.0223625,2797,0.0013985,60,3e-05,0,0.0,0,0.0,0.023791
Set_11,7 14 21 27 33 41,801113,0.4005565,848616,0.424308,302110,0.151055,45331,0.0226655,2769,0.0013845,61,3.05e-05,0,0.0,0,0.0,0.0240805
Set_12,8 17 23 31 37 42,800923,0.4004615,848648,0.424324,303169,0.1515845,44493,0.0222465,2728,0.001364,39,1.95e-05,0,0.0,2,1e-06,0.02363
Set_13,9 13 29 34 36 43,800715,0.4003575,849064,0.424532,302350,0.151175,45069,0.0225345,2751,0.0013755,50,2.5e-05,1,5e-07,2,1e-06,0.0239355
Set_14,10 12 16 23 28 35,801254,0.400627,847563,0.4237815,303586,0.151793,44753,0.0223765,2775,0.0013875,68,3.4e-05,1,5e-07,1,5e-07,0.0237985
Set_15,11 20 24 30 43 45,801961,0.4009805,847850,0.423925,302885,0.1514425,44444,0.022222,2800,0.0014,60,3e-05,0,0.0,4,2e-06,0.023652
Set_16,15 20 27 33 42 44,800808,0.400404,848530,0.424265,303282,0.151641,44648,0.022324,2676,0.001338,56,2.8e-05,0,0.0,2,1e-06,0.02369
